Evolving from,Unnamed: 1,Evolving to,Level,Condition
Rattata  Alolan Rattata,→,Raticate  Alolan Raticate,20.0,Nighttime
Pikachu,→,Raichu,,"use Thunder Stone, outside Alola"
Pikachu,→,Raichu  Alolan Raichu,,"use Thunder Stone, in Alola"
Primeape,→,Annihilape,,Use Rage Fist 20 times
Magneton,→,Magnezone,,"use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area"
Exeggcute,→,Exeggutor,,"use Leaf Stone, outside Alola"
Exeggcute,→,Exeggutor  Alolan Exeggutor,,"use Leaf Stone, in Alola"
Cubone,→,Marowak,28.0,outside Alola
Cubone,→,Marowak  Alolan Marowak,28.0,"Nighttime, in Alola"
Tyrogue,→,Hitmonlee,20.0,Attack > Defense
Tyrogue,→,Hitmonchan,20.0,Attack < Defense
Tyrogue,→,Hitmontop,20.0,Attack = Defense
Lickitung,→,Lickilicky,,after Rollout learned
Koffing,→,Weezing,35.0,outside Galar
Koffing,→,Weezing  Galarian Weezing,35.0,in Galar
Happiny,→,Chansey,,"hold Oval Stone, Daytime"
Tangela,→,Tangrowth,,after Ancient Power learned
Mime Jr.,→,Mr. Mime,,"after Mimic learned, outside Galar"
Mime Jr.,→,Mr. Mime  Galarian Mr. Mime,,"after Mimic learned, in Galar"
Eevee,→,Leafeon,,"use Leaf Stone, or level up near a Mossy Rock"
Eevee,→,Glaceon,,"use Ice Stone, or level up near an Icy Rock"
Cyndaquil,→,Quilava,14.0,or Level 17 in Legends: Arceus
Quilava,→,Typhlosion  Hisuian Typhlosion,36.0,in Legends: Arceus
Bonsly,→,Sudowoodo,,after Mimic learned
Aipom,→,Ambipom,,after Double Hit learned
Yanma,→,Yanmega,,after Ancient Power learned
Gligar,→,Gliscor,,"hold Razor Fang, Nighttime"
Sneasel,→,Weavile,,"hold Razor Claw, Nighttime"
Sneasel  Hisuian Sneasel,→,Sneasler,,"use Razor Claw, Daytime"
Ursaring,→,Ursaluna,,"use Peat Block, under a full moon, in Legends: Arceus"
Piloswine,→,Mamoswine,,after Ancient Power learned
Mantyke,→,Mantine,,with Remoraid in party
Linoone  Galarian Linoone,→,Obstagoon,35.0,Nighttime
Wurmple,→,Silcoon,7.0,random based on personality
Wurmple,→,Cascoon,7.0,random based on personality
