#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0001,Bulbasaur,Grass Poison,118,111,128,20%,10%,"Tackle, Vine Whip","Power Whip, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0002,Ivysaur,Grass Poison,151,143,155,10%,7%,"Razor Leaf, Vine Whip","Power Whip, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
0003,Venusaur,Grass Poison,198,189,190,5%,5%,"Razor Leaf, Vine Whip","Petal Blizzard, Sludge Bomb, Solar Beam, Frenzy Plant (Community Day), Frustration (Shadow), Return (Purified)"
0003,Venusaur Mega Venusaur,Grass Poison,241,246,190,5%,5%,,
0004,Charmander,Fire,116,93,118,20%,10%,"Ember, Scratch","Flame Burst, Flame Charge, Flamethrower, Frustration (Shadow), Return (Purified)"
0005,Charmeleon,Fire,158,126,151,10%,7%,"Ember, Fire Fang, Scratch (legacy)","Fire Punch, Flame Burst, Flamethrower, Frustration (Shadow), Return (Purified)"
0006,Charizard,Fire Flying,223,173,186,5%,5%,"Air Slash, Fire Spin, Ember (legacy), Wing Attack (legacy), Dragon Breath (Community Day)","Dragon Claw, Fire Blast, Overheat, Flamethrower (legacy), Blast Burn (Community Day), Frustration (Shadow), Return (Purified)"
0006,Charizard Mega Charizard X,Fire Dragon,273,213,186,5%,5%,,
0006,Charizard Mega Charizard Y,Fire Flying,319,212,186,5%,5%,,
0007,Squirtle,Water,94,121,127,20%,10%,"Bubble, Tackle","Aqua Jet, Aqua Tail, Water Pulse, Frustration (Shadow), Return (Purified)"
0008,Wartortle,Water,126,155,153,10%,7%,"Bite, Water Gun","Aqua Jet, Hydro Pump, Ice Beam, Frustration (Shadow), Return (Purified)"
0009,Blastoise,Water,171,207,188,5%,5%,"Bite, Water Gun","Flash Cannon, Hydro Pump, Ice Beam, Skull Bash, Hydro Cannon (Community Day), Frustration (Shadow), Return (Purified)"
0009,Blastoise Mega Blastoise,Water,264,237,188,5%,5%,,
0010,Caterpie,Bug,55,55,128,50%,20%,"Bug Bite, Tackle",Struggle
0011,Metapod,Bug,45,80,137,25%,9%,"Bug Bite, Tackle",Struggle
0012,Butterfree,Bug Flying,167,137,155,12.5%,6%,"Confusion, Struggle Bug, Bug Bite (legacy)","Bug Buzz, Psychic, Signal Beam"
0013,Weedle,Bug Poison,63,50,120,50%,20%,"Bug Bite, Poison Sting","Struggle, Frustration (Shadow), Return (Purified)"
0014,Kakuna,Bug Poison,46,75,128,25%,9%,"Bug Bite, Poison Sting","Struggle, Frustration (Shadow), Return (Purified)"
0015,Beedrill,Bug Poison,169,130,163,12.5%,6%,"Infestation, Poison Jab, Bug Bite (legacy)","Aerial Ace, Fell Stinger, Sludge Bomb, X-Scissor, Drill Run (Community Day), Frustration (Shadow), Return (Purified)"
0015,Beedrill Mega Beedrill,Bug Poison,303,148,163,12.5%,6%,,
0016,Pidgey,Normal Flying,85,73,120,50%,20%,"Quick Attack, Tackle","Aerial Ace, Air Cutter, Twister"
0017,Pidgeotto,Normal Flying,117,105,160,25%,9%,"Steel Wing, Wing Attack","Aerial Ace, Air Cutter, Twister"
0018,Pidgeot,Normal Flying,166,154,195,12.5%,6%,"Air Slash, Steel Wing, Gust (legacy), Wing Attack (legacy)","Aerial Ace, Brave Bird, Feather Dance, Hurricane, Air Cutter (legacy)"
0018,Pidgeot Mega Pidgeot,Normal Flying,280,175,195,12.5%,6%,,
0019,Rattata,Normal,103,70,102,50%,20%,"Quick Attack, Tackle","Body Slam, Dig, Hyper Fang, Frustration (Shadow), Return (Purified)"
0019,Rattata Alolan Rattata,Dark Normal,103,70,102,50%,20%,"Quick Attack, Tackle","Crunch, Hyper Fang, Shadow Ball, Frustration (Shadow), Return (Purified)"
0020,Raticate,Normal,161,139,146,20%,7%,"Bite, Quick Attack","Dig, Hyper Beam, Hyper Fang, Frustration (Shadow), Return (Purified)"
0020,Raticate Alolan Raticate,Dark Normal,135,154,181,20%,7%,"Bite, Quick Attack","Crunch, Hyper Beam, Hyper Fang, Frustration (Shadow), Return (Purified)"
0021,Spearow,Normal Flying,112,60,120,50%,15%,"Peck, Quick Attack","Aerial Ace, Drill Peck, Sky Attack, Twister (legacy)"
0022,Fearow,Normal Flying,182,133,163,20%,7%,"Peck, Steel Wing","Aerial Ace, Drill Run, Sky Attack, Twister (legacy)"
0023,Ekans,Poison,110,97,111,50%,15%,"Acid, Poison Sting","Poison Fang, Sludge Bomb, Wrap, Gunk Shot (legacy), Frustration (Shadow), Return (Purified)"
0024,Arbok,Poison,167,153,155,20%,7%,"Acid, Bite, Dragon Tail","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Frustration (Shadow), Return (Purified)"
0025,Pikachu,Electric,112,96,111,20%,10%,"Quick Attack, Thunder Shock, Present (legacy)","Discharge, Thunderbolt, Wild Charge, Thunder (legacy), Surf (Community Day)"
0025,Pikachu Pikachu Libre,Electric,112,96,111,20%,0%,"Charm, Thunder Shock","Flying Press, Play Rough, Thunder Punch"
0025,Pikachu Flying,Electric,112,96,111,20%,10%,"Present, Quick Attack, Thunder Shock","Discharge, Fly, Thunderbolt, Wild Charge"
0025,Pikachu Pop Star,Electric,112,96,111,20%,0%,"Charm, Thunder Shock","Draining Kiss, Play Rough, Thunder Punch"
0025,Pikachu Rock Star,Electric,112,96,111,20%,0%,"Charm, Thunder Shock","Meteor Mash, Play Rough, Thunder Punch"
0026,Raichu,Electric,193,151,155,10%,6%,"Charm, Spark, Thunder Shock, Volt Switch","Brick Break, Skull Bash, Thunder Punch, Wild Charge, Thunder (legacy)"
0026,Raichu Alolan Raichu,Electric Psychic,201,154,155,10%,6%,"Spark, Thunder Shock, Volt Switch","Grass Knot, Psychic, Thunder Punch, Wild Charge"
0027,Sandshrew,Ground,126,120,137,50%,10%,"Mud Shot, Scratch","Dig, Rock Slide, Sand Tomb, Rock Tomb (legacy), Frustration (Shadow), Return (Purified)"
0027,Sandshrew Alolan Sandshrew,Ice Steel,125,129,137,50%,10%,"Metal Claw, Powder Snow","Blizzard, Gyro Ball, Night Slash, Frustration (Shadow), Return (Purified)"
0028,Sandslash,Ground,182,175,181,20%,6%,"Metal Claw, Mud Shot","Bulldoze, Earthquake, Rock Tomb, Scorching Sands, Night Slash (Community Day), Frustration (Shadow), Return (Purified)"
0028,Sandslash Alolan Sandslash,Ice Steel,177,195,181,20%,6%,"Metal Claw, Powder Snow, Shadow Claw (Community Day)","Blizzard, Bulldoze, Drill Run, Gyro Ball, Ice Punch, Frustration (Shadow), Return (Purified)"
0029,Nidoran♀,Poison,86,89,146,50%,15%,"Bite, Poison Sting","Body Slam, Poison Fang, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0030,Nidorina,Poison,117,120,172,25%,7%,"Bite, Poison Sting","Dig, Poison Fang, Sludge Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
0031,Nidoqueen,Poison Ground,180,173,207,12.5%,5%,"Bite, Poison Jab","Earth Power, Earthquake, Poison Fang, Sludge Wave, Stone Edge, Frustration (Shadow), Return (Purified)"
0032,Nidoran♂,Poison,105,76,130,50%,15%,"Peck, Poison Sting","Body Slam, Horn Attack, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0033,Nidorino,Poison,137,111,156,25%,7%,"Poison Jab, Poison Sting","Dig, Horn Attack, Ice Beam, Sludge Bomb, Frustration (Shadow), Return (Purified)"
